product_id,quantity,wholesale_cost,sale_price,supplier_id
OB3DU6HDPITC,261,7.73,12.31,FCPHOUWX
U8WUCVBHUEPT,7260,398.08,703.41,XOMETHSI
UUYDUGDZUWRT,3007,403.42,651.12,WVULNKET
1Q7NIG2CKRMQ,7616,382.22,700.23,QQCBOMWH
VCSFM7P8CU23,4075,419.63,704.14,VPBYBMZO
MMR2CDJZC0LU,5901,392.76,559.68,BKRQNHKS
YQZ5M7MVRHK0,5707,384.85,716.98,XYNIWUEL
O7RFOKEPTZ9Y,7624,377,441.47,GXQJCXOG
NICFXA3GKFTV,1453,149.91,271.94,LNATWXJQ
LE48X0Q58YUO,4063,411.49,669.49,YBYEDEMS
OROG9PDVDUT8,2106,112.85,170.74,QJROTDDG
WCHNW8VRER9R,7515,452.82,616.29,DTDPPKQM
LF00RYSH8NY6,6572,404.76,519.31,RFEYLOJW
1KXD4S6MITSW,6127,418.27,579.3,SFOXXTCL
W21HIO2HR092,939,32.8,50.41,QJROTDDG
RGVM30M9CDQM,824,36.21,47.94,QJROTDDG
R9VA6MX4ENZH,271,10.84,19.35,NLLSGGGT
6PWD8ZQ0DF9A,6529,429.2,723.2,ZHFQYWFQ
VQXWVR7FTA20,2661,126.65,168.82,YBYEDEMS
D0F9H5BHS1LT,913,37.21,53.02,WVULNKET
4C06X3S35EFS,3671,416.91,739.6,DIOODVJT
51V1FFWECYTR,6867,399.41,665.82,NLLSGGGT
15CGBDQB6CL9,4418,395.42,534.61,KAZNRHOQ
VHJS3SIS5776,5671,371.8,663.66,IERMSETS
HQOOLYPHKE17,2815,120.89,223.77,KQVBXTHK
XNJEQ0D5FYIZ,4887,415.55,460.01,IOPFXRDQ
9OPMDNMQZNSK,31,1,1.81,UFBNXRKI
8E7I5DJ6G134,3541,356.4,643.66,BBOCISZO
Y8OTSRLK2G6J,6023,404.76,604.31,ZTMTJEEV
ADJVIJEA9P6W,85,6.46,8.26,HTMEYJGD
BZ78JG7WTHQY,2548,96.71,124.95,XDMCCJBD
J29BAS9SIQXX,2354,127.48,168.27,NLLSGGGT
XT58LHIH50F9,6971,440.25,574.09,JIJDDUGP
94AW5PBXNS8V,4374,438.86,567.01,CTFXTWQS
YBGJANL9LB5H,4653,386.16,684.28,XSKZJJQD
GMDKXI1D3FVO,5662,426.46,562.5,AUTOSHQL
KWD84F62V1ZR,3022,365.35,564.1,YBYEDEMS
KWF3ZSPZS61U,5570,387.48,685.84,AUTOSHQL
3AY2Z8XDBW8N,7591,370.51,541.32,FCPHOUWX
QBATIJQC76DS,4257,399.41,753.69,IERMSETS
0R34I1IXQ4C6,6143,431.95,507.54,XDMCCJBD
KBWHVLXYWERR,1756,122.52,173.37,IOPFXRDQ
9DHRZKQ19TLD,7482,447.22,622.98,AJSDIZRT
RKCS99N67CD0,6975,383.54,686.92,PNSBHHQC
JMVWKENR5OF8,7792,431.95,764.12,DTDPPKQM
YO0ONELLMO7H,925,31.39,41.78,XSKZJJQD
A0JCO5C714KB,2851,100.46,127.99,DIOODVJT
XWF8PL12PB1O,2566,137.65,190.65,AUTOSHQL
5THC7OWE5R6T,3356,411.49,462.1,ATIYQLFO
GOKJ0XOIRYEX,7552,436.09,491.04,PNSBHHQC
CS3TQL1PTIGU,7824,400.75,690.09,LNATWXJQ
LN3HA5N0HJ1R,2756,125.82,174.51,DTDPPKQM
UMYT24D6NXPL,1079,30.92,45.7,XOMETHSI
38EP128RC77T,4315,416.91,649.13,KXQSFXGU
QQ2IF8D3Z46D,1502,112.85,207.64,XSKZJJQD
1AEUBZ8WTP1D,3389,370.51,440.17,WWCZYPOB
K7GJ2AT9KL4I,4473,441.64,787,JIJDDUGP
STBOXBG5XCIP,1133,124.99,209.73,KQVBXTHK
NRZZNOAK4CRH,7674,370.51,636.17,EIQYQCNU
1GQJ6DWV6R6C,7768,452.82,536.59,BBOCISZO
V7BAVOZGQZLE,192,11.45,12.65,ERWYQEFD
CFGXSQL049PD,2639,140.24,169.69,LNATWXJQ
CCP5U1N1L2DZ,7918,418.27,664.63,AUTOSHQL
HTQL0RWIWONQ,658,39.24,63.76,XDMCCJBD
2CHCVNM8B0Y7,5131,322.71,587.98,KQVBXTHK
KZV38C3DZQ12,5860,433.33,638.3,ATIYQLFO
63ERA7KYFI5Q,4906,346.27,632.98,QQCBOMWH
2VSOFOXRTFPD,630,41.84,70.67,EIQYQCNU
CWHP98GEQ6IT,3974,365.35,604.29,IOPFXRDQ
112KKJJJPGIK,2758,127.48,163.56,ZTMTJEEV
6GCJISXDQBA5,5709,459.87,796.03,VKLEQAJE
IQN5IBV3GCSG,6798,429.2,645.09,SFOXXTCL
V1XAWZMBMB9B,1413,128.32,162.84,YBYEDEMS
0633ONWCBRRO,7395,383.54,647.42,VKLEQAJE
2XFTXOJ9YPB0,4545,454.23,617.3,JIJDDUGP
5OA12XOO7PFE,4484,418.27,496.49,XSKZJJQD
DUN1EBF3OU70,3867,391.44,493.21,IOPFXRDQ
GMFGCN122K4B,2442,110.48,201.41,PRLYBGUJ
6LVWDZY6X4WW,5097,406.1,685.5,VPBYBMZO
HRUB7FMF83G5,2196,133.37,213.53,BBQSKMFV
4YYLOQ42XLIO,5667,374.4,436.92,IERMSETS
NSGA9QQW343O,1360,119.26,201.91,QICGFEEE
CMN2SXBE7LZC,1743,147.24,209.67,EIQYQCNU
16X2ACWYDE5K,7849,360.22,493.5,RFEYLOJW
32YZH3VJLW6Q,6946,378.3,601.88,AJSDIZRT
J8RVWINHOWKL,6547,383.54,454.88,ZTMTJEEV
N2J1B48QSY6J,7043,458.45,858.22,WVULNKET
T40NNNFLCIW8,6330,416.91,756.27,XDMCCJBD
KSL857600HKW,1506,134.22,235.02,KQVBXTHK
PNBRWBBUKSTO,6534,412.84,477.66,AUTOSHQL
KEN3FA2ZQCFX,5196,418.27,537.9,KXQSFXGU
J38C36VUVSRF,27,1.36,1.54,VUSXKAXV
ACAGF6DWXHOS,640,36.71,49.96,QICGFEEE
XXOWSCW90RTN,627,44.51,77.94,AJSDIZRT
P6CXG9JXE677,6509,427.83,661.43,ZTMTJEEV
JBWYY78K76DS,362,10.24,19.45,NLLSGGGT
G64HF6GNVN47,5641,411.49,679.37,QJROTDDG
94TQTAA8I52O,4932,448.62,504.7,LNATWXJQ
VUGBEWF9ZBEX,3552,398.08,540.99,IOPFXRDQ
BCB41H8TX51Z,5603,419.63,509.01,CSHVWCVS
NIHB861D1WRE,5591,414.2,665.62,AJSDIZRT
2XKMJM7B161V,1044,43.43,80.3,QQCBOMWH
RK02BSDQBUZ3,3647,436.09,487.98,KQVBXTHK
UKPSK1BMDZ38,4961,384.85,584.59,ZHFQYWFQ
V8SUF37IF71R,2919,129.16,226.03,RFEYLOJW
9UDLD760PXNK,1171,140.24,212.46,IERMSETS
PTG9W7EVYVBU,2783,143.72,211.84,RFEYLOJW
S5QTLQYJIMXZ,210,8.26,13.79,YBLQUPLJ
SJ13W090VMI8,3651,386.16,559.93,PHWMWYIY
